Día,Hora de inicio,Impresiones
Domingo,12 a.m.,74
Domingo,1 a.m.,91
Domingo,2 a.m.,68
Domingo,3 a.m.,52
Domingo,4 a.m.,58
Domingo,5 a.m.,66
Domingo,6 a.m.,78
Domingo,7 a.m.,76
Domingo,8 a.m.,77
Domingo,9 a.m.,75
Domingo,10 a.m.,71
Domingo,11 a.m.,75
Domingo,12 p.m.,71
Domingo,1 p.m.,63
Domingo,2 p.m.,89
Domingo,3 p.m.,88
Domingo,4 p.m.,87
Domingo,5 p.m.,66
Domingo,6 p.m.,63
Domingo,7 p.m.,45
Domingo,8 p.m.,47
Domingo,9 p.m.,4
Domingo,10 p.m.,0
Domingo,11 p.m.,0
Lunes,12 a.m.,83
Lunes,1 a.m.,62
Lunes,2 a.m.,64
Lunes,3 a.m.,43
Lunes,4 a.m.,36
Lunes,5 a.m.,65
Lunes,6 a.m.,84
Lunes,7 a.m.,113
Lunes,8 a.m.,102
Lunes,9 a.m.,77
Lunes,10 a.m.,93
Lunes,11 a.m.,75
Lunes,12 p.m.,64
Lunes,1 p.m.,75
Lunes,2 p.m.,71
Lunes,3 p.m.,93
Lunes,4 p.m.,62
Lunes,5 p.m.,69
Lunes,6 p.m.,64
Lunes,7 p.m.,85
Lunes,8 p.m.,76
Lunes,9 p.m.,58
Lunes,10 p.m.,0
Lunes,11 p.m.,0
Martes,12 a.m.,99
Martes,1 a.m.,107
Martes,2 a.m.,53
Martes,3 a.m.,53
Martes,4 a.m.,29
Martes,5 a.m.,81
Martes,6 a.m.,83
Martes,7 a.m.,84
Martes,8 a.m.,77
Martes,9 a.m.,100
Martes,10 a.m.,99
Martes,11 a.m.,92
Martes,12 p.m.,90
Martes,1 p.m.,81
Martes,2 p.m.,61
Martes,3 p.m.,64
Martes,4 p.m.,73
Martes,5 p.m.,110
Martes,6 p.m.,94
Martes,7 p.m.,102
Martes,8 p.m.,58
Martes,9 p.m.,15
Martes,10 p.m.,28
Martes,11 p.m.,22
Miércoles,12 a.m.,99
Miércoles,1 a.m.,69
Miércoles,2 a.m.,77
Miércoles,3 a.m.,43
Miércoles,4 a.m.,57
Miércoles,5 a.m.,59
Miércoles,6 a.m.,84
Miércoles,7 a.m.,88
Miércoles,8 a.m.,84
Miércoles,9 a.m.,70
Miércoles,10 a.m.,83
Miércoles,11 a.m.,51
Miércoles,12 p.m.,90
Miércoles,1 p.m.,74
Miércoles,2 p.m.,77
Miércoles,3 p.m.,96
Miércoles,4 p.m.,97
Miércoles,5 p.m.,86
Miércoles,6 p.m.,167
Miércoles,7 p.m.,211
Miércoles,8 p.m.,245
Miércoles,9 p.m.,179
Miércoles,10 p.m.,195
Miércoles,11 p.m.,93
Jueves,12 a.m.,180
Jueves,1 a.m.,124
Jueves,2 a.m.,94
Jueves,3 a.m.,72
Jueves,4 a.m.,77
Jueves,5 a.m.,123
Jueves,6 a.m.,155
Jueves,7 a.m.,138
Jueves,8 a.m.,141
Jueves,9 a.m.,156
Jueves,10 a.m.,120
Jueves,11 a.m.,151
Jueves,12 p.m.,151
Jueves,1 p.m.,142
Jueves,2 p.m.,130
Jueves,3 p.m.,112
Jueves,4 p.m.,124
Jueves,5 p.m.,95
Jueves,6 p.m.,112
Jueves,7 p.m.,132
Jueves,8 p.m.,132
Jueves,9 p.m.,168
Jueves,10 p.m.,117
Jueves,11 p.m.,105
Viernes,12 a.m.,178
Viernes,1 a.m.,142
Viernes,2 a.m.,110
Viernes,3 a.m.,93
Viernes,4 a.m.,96
Viernes,5 a.m.,95
Viernes,6 a.m.,138
Viernes,7 a.m.,146
Viernes,8 a.m.,152
Viernes,9 a.m.,145
Viernes,10 a.m.,164
Viernes,11 a.m.,131
Viernes,12 p.m.,143
Viernes,1 p.m.,101
Viernes,2 p.m.,128
Viernes,3 p.m.,127
Viernes,4 p.m.,107
Viernes,5 p.m.,120
Viernes,6 p.m.,131
Viernes,7 p.m.,121
Viernes,8 p.m.,131
Viernes,9 p.m.,142
Viernes,10 p.m.,78
Viernes,11 p.m.,72
Sábado,12 a.m.,172
Sábado,1 a.m.,129
Sábado,2 a.m.,97
Sábado,3 a.m.,124
Sábado,4 a.m.,94
Sábado,5 a.m.,113
Sábado,6 a.m.,159
Sábado,7 a.m.,168
Sábado,8 a.m.,124
Sábado,9 a.m.,124
Sábado,10 a.m.,119
Sábado,11 a.m.,119
Sábado,12 p.m.,100
Sábado,1 p.m.,117
Sábado,2 p.m.,115
Sábado,3 p.m.,135
Sábado,4 p.m.,151
Sábado,5 p.m.,131
Sábado,6 p.m.,78
Sábado,7 p.m.,77
Sábado,8 p.m.,69
Sábado,9 p.m.,6
Sábado,10 p.m.,0
Sábado,11 p.m.,0
