Informe de palabras clave de búsqueda
Todo el período
Estado de palabras clave,Palabra clave,Tipo de concordancia,Grupo de anuncios,Estado,Motivos del estado,URL final,Impr.,CTR,Código de moneda,Costo,Clics,Porcentaje de conv.,Conversiones,Prom. CPC,Costo/conv.
Habilitado,[especialista en sueño Peru],Concordancia exacta,Grupo de anuncios 1,Apta,,,4,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,[insomnio qué tomar],Concordancia exacta,Grupo de anuncios 1,Apta,,,7,14.29%,PEN,0.18,1,0.00%,0.00,0.18,0.00
Habilitado,"""no puedo dormir""",Concordancia de frase,Grupo de anuncios 1,Apta,,,"1,159",5.44%,PEN,20.40,63,0.00%,0.00,0.32,0.00
Habilitado,"""pastillas para dormir Peru""",Concordancia de frase,Grupo de anuncios 1,Apta,,,1,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""por qué no puedo dormir""",Concordancia de frase,Grupo de anuncios 1,Limitada,baja calidad,,426,5.63%,PEN,7.10,24,0.00%,0.00,0.30,0.00
Habilitado,"""qué tomar para dormir mejor""",Concordancia de frase,Grupo de anuncios 1,Apta,,,327,9.17%,PEN,6.60,30,0.00%,0.00,0.22,0.00
Habilitado,"""cómo conciliar el sueño""",Concordancia de frase,Grupo de anuncios 1,Limitada,baja calidad,,"2,300",3.43%,PEN,17.89,79,0.00%,0.00,0.23,0.00
Habilitado,"""cómo tratar el insomnio""",Concordancia de frase,Grupo de anuncios 1,Apta,,,273,10.62%,PEN,8.96,29,0.00%,0.00,0.31,0.00
Habilitado,"""remedios para el insomnio""",Concordancia de frase,Grupo de anuncios 1,Apta,,,447,8.28%,PEN,12.45,37,0.00%,0.00,0.34,0.00
Habilitado,"""me desvelo todas las noches""",Concordancia de frase,Grupo de anuncios 1,Apta,,,7,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
 --,,"Total: Todas las palabras clave, excepto las quitadas", --, --,,,"4,951",5.31%,PEN,73.58,263,0.00%,0.00,0.28,0.00
,,Total: Palabras clave de tu campaña,,,,,"4,951",5.31%,PEN,73.58,263,0.00%,0.00,0.28,0.00
,,Total: Sus palabras clave,,,,,"4,951",5.31%,PEN,73.58,263,0.00%,0.00,0.28,0.00
,,Total: Coincidencias expandidas de IA Max,,,,,0, --,PEN,0.00,0,0.00%,0.00,0,0.00
,,Total: Coincidencias de páginas de destino de IA Max,,,,,0, --,PEN,0.00,0,0.00%,0.00,0,0.00
,,Total: Inclusiones de URLs de tu campaña,,,,,0, --,PEN,0.00,0,0.00%,0.00,0,0.00
,,Total: Campaña,,,,,"4,951",5.31%,PEN,73.58,263,0.00%,0.00,0.28,0.00
