Informe de palabras clave de búsqueda
Todo el período
Estado de palabras clave,Palabra clave,Tipo de concordancia,Grupo de anuncios,Estado,Motivos del estado,URL final,Impr.,CTR,Código de moneda,Costo,Clics,Porcentaje de conv.,Conversiones,Prom. CPC,Costo/conv.
Habilitado,"""mi cabeza no para de pensar""",Concordancia de frase,Grupo de anuncios 1,Apta,,,32,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""remedios para la ansiedad""",Concordancia de frase,Grupo de anuncios 1,Apta,,,870,6.44%,PEN,21.72,56,0.00%,0.00,0.39,0.00
Habilitado,"""cómo bajar la ansiedad rápido""",Concordancia de frase,Grupo de anuncios 1,Apta,,,301,5.32%,PEN,3.48,16,0.00%,0.00,0.22,0.00
Habilitado,"""siento que algo malo va a pasar""",Concordancia de frase,Grupo de anuncios 1,Apta,,,0, --,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""cómo controlar la ansiedad""",Concordancia de frase,Grupo de anuncios 1,Apta,,,"2,557",4.97%,PEN,35.49,127,0.00%,0.00,0.28,0.00
Habilitado,"""cómo tranquilizar la mente""",Concordancia de frase,Grupo de anuncios 1,Apta,,,"2,509",1.67%,PEN,10.80,42,0.00%,0.00,0.26,0.00
Habilitado,[estrés crónico tratamiento],Concordancia exacta,Grupo de anuncios 1,Apta,,,59,1.69%,PEN,0.25,1,0.00%,0.00,0.25,0.00
Habilitado,"""me siento agotado emocionalmente""",Concordancia de frase,Grupo de anuncios 1,Apta,,,5,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""duermo pero me levanto cansado""",Concordancia de frase,Grupo de anuncios 1,Apta,,,18,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""no puedo dormir de tanto pensar""",Concordancia de frase,Grupo de anuncios 1,Apta,,,3,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""cómo calmar los nervios""",Concordancia de frase,Grupo de anuncios 1,Limitada,baja calidad,,560,4.82%,PEN,5.22,27,0.00%,0.00,0.19,0.00
 --,,"Total: Todas las palabras clave, excepto las quitadas", --, --,,,"6,914",3.89%,PEN,76.96,269,0.00%,0.00,0.29,0.00
,,Total: Palabras clave de tu campaña,,,,,"6,914",3.89%,PEN,76.96,269,0.00%,0.00,0.29,0.00
,,Total: Sus palabras clave,,,,,"6,914",3.89%,PEN,76.96,269,0.00%,0.00,0.29,0.00
,,Total: Coincidencias expandidas de IA Max,,,,,0, --,PEN,0.00,0,0.00%,0.00,0,0.00
,,Total: Coincidencias de páginas de destino de IA Max,,,,,0, --,PEN,0.00,0,0.00%,0.00,0,0.00
,,Total: Inclusiones de URLs de tu campaña,,,,,0, --,PEN,0.00,0,0.00%,0.00,0,0.00
,,Total: Campaña,,,,,"6,914",3.89%,PEN,76.96,269,0.00%,0.00,0.29,0.00
