Palabra clave de la Búsqueda,Tipo de concordancia,Estado del criterio,Estado de la campaña,Estado del grupo de anuncios,Costo,Clics,CTR
cómo controlar la ansiedad,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN35.49,127,4.99%
me duele la espalda qué hago,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN22.82,45,2.90%
cómo aliviar el dolor de espalda,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN22.11,42,3.62%
remedios para la ansiedad,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN21.72,56,6.46%
me duele el cuerpo qué hago,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN20.60,43,4.27%
no puedo dormir,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN20.40,63,5.46%
cómo conciliar el sueño,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN17.89,79,3.44%
remedios para el insomnio,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN12.45,37,8.28%
cómo tranquilizar la mente,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN10.80,42,1.68%
cómo tratar el insomnio,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN8.96,29,10.70%
por qué no puedo dormir,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN7.10,24,5.67%
qué tomar para dormir mejor,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN6.38,29,8.95%
cómo calmar los nervios,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN5.22,27,4.85%
por qué me duele tanto el cuerpo,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN4.26,12,7.19%
me duele el cuerpo entero,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN4.10,4,3.85%
cómo bajar la ansiedad rápido,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN3.48,16,5.32%
por qué me duele todo el cuerpo,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN3.21,5,11.63%
cómo aliviar el dolor crónico,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN1.49,1,5.88%
estrés crónico tratamiento,Concordancia exacta,Habilitado,Habilitado,Habilitado,PEN0.25,1,1.69%
insomnio qué tomar,Concordancia exacta,Habilitado,Habilitado,Habilitado,PEN0.18,1,14.29%
dolor muscular crónico tratamiento,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN0.00,0,0.00%
por qué me duele el cuerpo al despertar,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN0.00,0,0.00%
dolor que no se quita con nada,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN0.00,0,0.00%
me siento agotado emocionalmente,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN0.00,0,0.00%
no puedo dormir de tanto pensar,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN0.00,0,0.00%
siento que algo malo va a pasar,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN0.00,0,0.00%
mi cabeza no para de pensar,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN0.00,0,0.00%
duermo pero me levanto cansado,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN0.00,0,0.00%
me desvelo todas las noches,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN0.00,0,0.00%
especialista en sueño Peru,Concordancia exacta,Habilitado,Habilitado,Habilitado,PEN0.00,0,0.00%
pastillas para dormir Peru,Concordancia de frase,Habilitado,Habilitado,Habilitado,PEN0.00,0,0.00%
