Términos de búsqueda
Todo el período
Término de búsqueda,Tipo de concordancia con los términos de búsqueda,Agregadas/excluidas,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,% impr. (absoluto parte sup.),% impr. (parte sup.),Conversiones,Conv. posimpresión,Costo/conv.,Porcentaje de conv.
como controlar la ansiedad,Concordancia exacta (variante cercana),Ninguna,5,66,7.58%,PEN,0.31,1.55,25.00%,54.17%,0.00,0,0,0.00%
cómo quitar la ansiedad,Concordancia exacta (variante cercana),Ninguna,5,12,41.67%,PEN,0.19,0.97,33.33%,66.67%,0.00,0,0,0.00%
que hacer para calmar la ansiedad,Concordancia exacta (variante cercana),Ninguna,5,7,71.43%,PEN,0.21,1.06,33.33%,33.33%,0.00,0,0,0.00%
como eliminar la ansiedad para siempre,Concordancia de frase (variante cercana),Ninguna,5,20,25.00%,PEN,0.22,1.09,50.00%,75.00%,0.00,0,0,0.00%
que tomar para la ansiedad y el estres,Concordancia de frase (variante cercana),Ninguna,5,6,83.33%,PEN,0.16,0.78,0,0,0.00,0,0,0.00%
como combatir la ansiedad,Concordancia exacta (variante cercana),Ninguna,4,23,17.39%,PEN,0.45,1.80,50.00%,100.00%,0.00,0,0,0.00%
como tratar la ansiedad,Concordancia exacta (variante cercana),Ninguna,4,17,23.53%,PEN,0.28,1.10,62.50%,87.50%,0.00,0,0,0.00%
remedios caseros para la ansiedad y los nervios,Concordancia de frase (variante cercana),Ninguna,4,6,66.67%,PEN,0.20,0.79,0,0,0.00,0,0,0.00%
como calmar la ansiedad y los nervios,Concordancia exacta (variante cercana),Ninguna,3,26,11.54%,PEN,0.17,0.52,28.57%,85.71%,0.00,0,0,0.00%
cómo combatir la ansiedad,Concordancia exacta (variante cercana),Ninguna,3,12,25.00%,PEN,0.33,1.00,0.00%,100.00%,0.00,0,0,0.00%
que es bueno para la ansiedad,Concordancia exacta (variante cercana),Ninguna,3,46,6.52%,PEN,0.20,0.60,20.59%,32.35%,0.00,0,0,0.00%
que hacer si tengo ansiedad,Concordancia exacta (variante cercana),Ninguna,3,6,50.00%,PEN,0.17,0.52,0,0,0.00,0,0,0.00%
que tomar para la ansiedad y los nervios,Concordancia de frase (variante cercana),Ninguna,3,11,27.27%,PEN,0.16,0.48,0,0,0.00,0,0,0.00%
