Informe de dispositivos
Todo el período
Dispositivo,Nivel,Campaña,Grupo de anuncios,Ajuste de oferta,Ajuste de la oferta del grupo de anuncios,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Porcentaje de conv.,Conversiones,Costo/conv.
Computadoras,Campaña,Organnical — Dolor Crónico — Búsqueda, --, --,Ninguno,4,252,1.59%,PEN,1.18,4.72,0.00%,0.00,0.00
Dispositivos móviles,Campaña,Organnical — Dolor Crónico — Búsqueda, --, --,Ninguno,337,"9,185",3.67%,PEN,0.49,165.62,0.00%,0.00,0.00
Tablets,Campaña,Organnical — Dolor Crónico — Búsqueda, --, --,Ninguno,0,10,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Tablets,Campaña,Organnical — Ansiedad — Búsqueda, --, --,Ninguno,0,9,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Computadoras,Campaña,Organnical — Ansiedad — Búsqueda, --, --,Ninguno,9,374,2.41%,PEN,0.48,4.35,0.00%,0.00,0.00
Dispositivos móviles,Campaña,Organnical — Ansiedad — Búsqueda, --, --,Ninguno,510,"11,887",4.29%,PEN,0.27,135.39,0.00%,0.00,0.00
Dispositivos móviles,Campaña,Organnical — Insomnio — Búsqueda, --, --,Ninguno,598,"11,456",5.22%,PEN,0.27,162.54,0.00%,0.00,0.00
Computadoras,Campaña,Organnical — Insomnio — Búsqueda, --, --,Ninguno,8,195,4.10%,PEN,0.68,5.42,0.00%,0.00,0.00
Tablets,Campaña,Organnical — Insomnio — Búsqueda, --, --,Ninguno,4,14,28.57%,PEN,0.28,1.12,0.00%,0.00,0.00
,,,,Total: Cuenta,,"1,470","33,382",4.40%,PEN,0.33,479.15,0.00%,0.00,0.00
