Informe de ingreso familiar
Todo el período
Estado de los datos demográficos,Ingreso familiar,Campaña,Grupo de anuncios,Estado,Ajuste de oferta,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Porcentaje de conv.,Conversiones,Costo/conv.
Habilitado,Desconocido,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,608,"11,642",5.22%,PEN,0.28,168.57,0.00%,0.00,0.00
Habilitado,21 % a 30 %,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,0,6,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,10 % más alto,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,0,0, --,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,50 % inferior,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,1,8,12.50%,PEN,0.23,0.23,0.00%,0.00,0.00
Habilitado,31 % a 40 %,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,1,4,25.00%,PEN,0.28,0.28,0.00%,0.00,0.00
Habilitado,11 % a 20 %,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,0,0, --,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,41 % a 50 %,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,0,0, --,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,Desconocido,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,519,"12,241",4.24%,PEN,0.27,139.74,0.00%,0.00,0.00
Habilitado,50 % inferior,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,0,7,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,10 % más alto,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,0,3,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,31 % a 40 %,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,0,3,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,21 % a 30 %,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,0,1,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,11 % a 20 %,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,0,1,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,41 % a 50 %,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,0,0, --,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,50 % inferior,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Apto, --,0,16,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,31 % a 40 %,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Apto, --,0,2,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,41 % a 50 %,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Apto, --,0,1,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,Desconocido,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Apto, --,341,"9,419",3.62%,PEN,0.50,170.34,0.00%,0.00,0.00
Habilitado,11 % a 20 %,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Apto, --,0,2,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,10 % más alto,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Apto, --,0,5,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Habilitado,21 % a 30 %,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Apto, --,0,2,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Total: Ingresos familiares,,,,,,"1,470","33,363",4.41%,PEN,0.33,479.15,0.00%,0.00,0.00
Total: Cuenta,,,,,,"1,470","33,363",4.41%,PEN,0.33,479.15,0.00%,0.00,0.00
Total: Búsqueda,,,,,,"1,470","33,363",4.41%,PEN,0.33,479.15,0.00%,0.00,0.00
