Informe de palabras clave de búsqueda
Todo el período
Estado de palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Impr.,CTR,Código de moneda,Costo,Clics,Porcentaje de conv.,Conversiones,Prom. CPC,Costo/conv.
Habilitado,[estrés crónico tratamiento],Concordancia exacta,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,100,3.00%,PEN,0.91,3,0.00%,0.00,0.30,0.00
Habilitado,"""me siento agotado emocionalmente""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,18,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""no puedo dormir de tanto pensar""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,22,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""cómo calmar los nervios""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Limitada,baja calidad,,"1,237",3.96%,PEN,9.83,49,0.00%,0.00,0.20,0.00
Habilitado,"""remedios para la ansiedad""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,"1,848",6.60%,PEN,42.03,122,0.00%,0.00,0.34,0.00
Habilitado,"""mi cabeza no para de pensar""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,108,3.70%,PEN,0.70,4,0.00%,0.00,0.18,0.00
Habilitado,"""duermo pero me levanto cansado""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,18,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""cómo bajar la ansiedad rápido""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,755,3.84%,PEN,6.30,29,0.00%,0.00,0.22,0.00
Habilitado,"""siento que algo malo va a pasar""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,0, --,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""cómo controlar la ansiedad""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,"5,277",4.89%,PEN,67.13,258,0.00%,0.00,0.26,0.00
Habilitado,"""cómo tratar el insomnio""",Concordancia de frase,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apta,,,751,9.05%,PEN,24.21,68,0.00%,0.00,0.36,0.00
Habilitado,"""pastillas para dormir Peru""",Concordancia de frase,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Limitada,baja calidad,,3,33.33%,PEN,0.94,1,0.00%,0.00,0.94,0.00
Habilitado,"""me desvelo todas las noches""",Concordancia de frase,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apta,,,7,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""no puedo dormir""",Concordancia de frase,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Limitada,baja calidad,,"2,603",5.38%,PEN,40.88,140,0.00%,0.00,0.29,0.00
