Informe de programación de anuncios por día y hora
Todo el período
Día de la semana,Hora del día,Campaña,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Porcentaje de conv.,Conversiones,Costo/conv.
Miércoles,5,Organnical — Insomnio — Búsqueda,7,78,8.97%,PEN,0.21,1.44,0.00%,0.00,0.00
Miércoles,17,Organnical — Ansiedad — Búsqueda,3,85,3.53%,PEN,0.21,0.62,0.00%,0.00,0.00
Sábado,0,Organnical — Ansiedad — Búsqueda,3,77,3.90%,PEN,0.14,0.41,0.00%,0.00,0.00
Martes,18,Organnical — Insomnio — Búsqueda,4,63,6.35%,PEN,0.19,0.77,0.00%,0.00,0.00
Viernes,5,Organnical — Ansiedad — Búsqueda,5,62,8.06%,PEN,0.19,0.96,0.00%,0.00,0.00
Martes,23,Organnical — Ansiedad — Búsqueda,1,31,3.23%,PEN,0.21,0.21,0.00%,0.00,0.00
Jueves,17,Organnical — Ansiedad — Búsqueda,1,88,1.14%,PEN,0.22,0.22,0.00%,0.00,0.00
Sábado,14,Organnical — Insomnio — Búsqueda,0,26,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Sábado,20,Organnical — Dolor Crónico — Búsqueda,1,65,1.54%,PEN,0.17,0.17,0.00%,0.00,0.00
Viernes,3,Organnical — Ansiedad — Búsqueda,1,38,2.63%,PEN,0.27,0.27,0.00%,0.00,0.00
Miércoles,7,Organnical — Ansiedad — Búsqueda,4,67,5.97%,PEN,0.32,1.26,0.00%,0.00,0.00
Martes,4,Organnical — Ansiedad — Búsqueda,1,17,5.88%,PEN,0.16,0.16,0.00%,0.00,0.00
Viernes,2,Organnical — Insomnio — Búsqueda,7,125,5.60%,PEN,0.27,1.91,0.00%,0.00,0.00
Domingo,13,Organnical — Dolor Crónico — Búsqueda,0,64,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Viernes,12,Organnical — Ansiedad — Búsqueda,1,112,0.89%,PEN,0.41,0.41,0.00%,0.00,0.00
Jueves,13,Organnical — Ansiedad — Búsqueda,3,104,2.88%,PEN,0.51,1.53,0.00%,0.00,0.00
Martes,17,Organnical — Dolor Crónico — Búsqueda,3,67,4.48%,PEN,0.33,0.99,0.00%,0.00,0.00
Martes,11,Organnical — Dolor Crónico — Búsqueda,0,71,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Jueves,19,Organnical — Ansiedad — Búsqueda,5,117,4.27%,PEN,0.24,1.19,0.00%,0.00,0.00
Sábado,21,Organnical — Dolor Crónico — Búsqueda,0,83,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Jueves,20,Organnical — Dolor Crónico — Búsqueda,4,81,4.94%,PEN,0.99,3.94,0.00%,0.00,0.00
Martes,4,Organnical — Insomnio — Búsqueda,1,42,2.38%,PEN,0.27,0.27,0.00%,0.00,0.00
Martes,17,Organnical — Insomnio — Búsqueda,4,56,7.14%,PEN,0.23,0.93,0.00%,0.00,0.00
Jueves,2,Organnical — Dolor Crónico — Búsqueda,0,28,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Sábado,2,Organnical — Ansiedad — Búsqueda,3,46,6.52%,PEN,0.18,0.53,0.00%,0.00,0.00
Sábado,12,Organnical — Dolor Crónico — Búsqueda,2,46,4.35%,PEN,0.72,1.43,0.00%,0.00,0.00
Jueves,8,Organnical — Insomnio — Búsqueda,3,44,6.82%,PEN,0.37,1.10,0.00%,0.00,0.00
Domingo,4,Organnical — Insomnio — Búsqueda,3,105,2.86%,PEN,0.27,0.82,0.00%,0.00,0.00
Jueves,7,Organnical — Dolor Crónico — Búsqueda,2,95,2.11%,PEN,1.39,2.77,0.00%,0.00,0.00
Lunes,21,Organnical — Insomnio — Búsqueda,1,36,2.78%,PEN,0.23,0.23,0.00%,0.00,0.00
Miércoles,2,Organnical — Insomnio — Búsqueda,8,97,8.25%,PEN,0.29,2.34,0.00%,0.00,0.00
Sábado,18,Organnical — Dolor Crónico — Búsqueda,1,61,1.64%,PEN,0.23,0.23,0.00%,0.00,0.00
Jueves,2,Organnical — Insomnio — Búsqueda,9,111,8.11%,PEN,0.25,2.29,0.00%,0.00,0.00
Lunes,20,Organnical — Dolor Crónico — Búsqueda,5,80,6.25%,PEN,0.50,2.51,0.00%,0.00,0.00
Sábado,5,Organnical — Insomnio — Búsqueda,5,84,5.95%,PEN,0.33,1.67,0.00%,0.00,0.00
Sábado,22,Organnical — Dolor Crónico — Búsqueda,3,66,4.55%,PEN,0.60,1.79,0.00%,0.00,0.00
Lunes,2,Organnical — Insomnio — Búsqueda,8,166,4.82%,PEN,0.26,2.05,0.00%,0.00,0.00
Sábado,7,Organnical — Insomnio — Búsqueda,1,59,1.69%,PEN,0.13,0.13,0.00%,0.00,0.00
Domingo,21,Organnical — Insomnio — Búsqueda,9,117,7.69%,PEN,0.23,2.10,0.00%,0.00,0.00
Domingo,6,Organnical — Dolor Crónico — Búsqueda,2,65,3.08%,PEN,0.44,0.88,0.00%,0.00,0.00
Viernes,19,Organnical — Insomnio — Búsqueda,3,43,6.98%,PEN,0.20,0.59,0.00%,0.00,0.00
Domingo,14,Organnical — Insomnio — Búsqueda,0,70,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Sábado,17,Organnical — Dolor Crónico — Búsqueda,3,48,6.25%,PEN,0.58,1.75,0.00%,0.00,0.00
Domingo,4,Organnical — Ansiedad — Búsqueda,3,25,12.00%,PEN,0.22,0.67,0.00%,0.00,0.00
Lunes,10,Organnical — Dolor Crónico — Búsqueda,0,49,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Viernes,18,Organnical — Ansiedad — Búsqueda,6,105,5.71%,PEN,0.19,1.12,0.00%,0.00,0.00
Jueves,4,Organnical — Ansiedad — Búsqueda,0,40,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Miércoles,0,Organnical — Ansiedad — Búsqueda,2,53,3.77%,PEN,0.23,0.45,0.00%,0.00,0.00
Domingo,7,Organnical — Dolor Crónico — Búsqueda,3,87,3.45%,PEN,0.41,1.24,0.00%,0.00,0.00
Jueves,12,Organnical — Insomnio — Búsqueda,4,62,6.45%,PEN,0.28,1.12,0.00%,0.00,0.00
Jueves,17,Organnical — Insomnio — Búsqueda,4,52,7.69%,PEN,0.26,1.02,0.00%,0.00,0.00
Domingo,7,Organnical — Ansiedad — Búsqueda,4,80,5.00%,PEN,0.33,1.32,0.00%,0.00,0.00
Martes,11,Organnical — Insomnio — Búsqueda,2,52,3.85%,PEN,0.15,0.30,0.00%,0.00,0.00
Domingo,13,Organnical — Ansiedad — Búsqueda,2,70,2.86%,PEN,0.21,0.42,0.00%,0.00,0.00
Sábado,1,Organnical — Dolor Crónico — Búsqueda,0,22,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Jueves,18,Organnical — Dolor Crónico — Búsqueda,2,77,2.60%,PEN,0.40,0.80,0.00%,0.00,0.00
Domingo,3,Organnical — Ansiedad — Búsqueda,3,28,10.71%,PEN,0.20,0.60,0.00%,0.00,0.00
Sábado,22,Organnical — Ansiedad — Búsqueda,3,54,5.56%,PEN,0.45,1.34,0.00%,0.00,0.00
Martes,2,Organnical — Insomnio — Búsqueda,5,79,6.33%,PEN,0.21,1.07,0.00%,0.00,0.00
Martes,9,Organnical — Insomnio — Búsqueda,2,54,3.70%,PEN,0.25,0.49,0.00%,0.00,0.00
Miércoles,14,Organnical — Insomnio — Búsqueda,1,46,2.17%,PEN,0.17,0.17,0.00%,0.00,0.00
Lunes,10,Organnical — Ansiedad — Búsqueda,3,118,2.54%,PEN,0.25,0.76,0.00%,0.00,0.00
Martes,19,Organnical — Insomnio — Búsqueda,4,41,9.76%,PEN,0.27,1.08,0.00%,0.00,0.00
Viernes,6,Organnical — Ansiedad — Búsqueda,3,75,4.00%,PEN,0.22,0.66,0.00%,0.00,0.00
Martes,13,Organnical — Dolor Crónico — Búsqueda,2,68,2.94%,PEN,0.67,1.33,0.00%,0.00,0.00
Lunes,9,Organnical — Dolor Crónico — Búsqueda,3,64,4.69%,PEN,0.71,2.13,0.00%,0.00,0.00
Domingo,23,Organnical — Ansiedad — Búsqueda,0,32,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Jueves,13,Organnical — Insomnio — Búsqueda,3,47,6.38%,PEN,0.16,0.49,0.00%,0.00,0.00
Lunes,4,Organnical — Dolor Crónico — Búsqueda,0,15,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Miércoles,18,Organnical — Dolor Crónico — Búsqueda,3,64,4.69%,PEN,0.53,1.59,0.00%,0.00,0.00
Miércoles,3,Organnical — Dolor Crónico — Búsqueda,0,9,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Sábado,12,Organnical — Insomnio — Búsqueda,3,44,6.82%,PEN,0.15,0.46,0.00%,0.00,0.00
Jueves,12,Organnical — Ansiedad — Búsqueda,1,100,1.00%,PEN,0.19,0.19,0.00%,0.00,0.00
Domingo,2,Organnical — Dolor Crónico — Búsqueda,0,26,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Viernes,18,Organnical — Insomnio — Búsqueda,1,26,3.85%,PEN,0.22,0.22,0.00%,0.00,0.00
