Informe de programación de anuncios por hora
Todo el período
Hora del día,Campaña,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Porcentaje de conv.,Conversiones,Costo/conv.
11,Organnical — Dolor Crónico — Búsqueda,16,448,3.57%,PEN,0.54,8.57,0.00%,0.00,0.00
21,Organnical — Ansiedad — Búsqueda,31,549,5.65%,PEN,0.26,8.09,0.00%,0.00,0.00
18,Organnical — Insomnio — Búsqueda,18,372,4.84%,PEN,0.26,4.60,0.00%,0.00,0.00
1,Organnical — Ansiedad — Búsqueda,13,284,4.58%,PEN,0.36,4.62,0.00%,0.00,0.00
14,Organnical — Ansiedad — Búsqueda,28,570,4.91%,PEN,0.25,6.88,0.00%,0.00,0.00
2,Organnical — Dolor Crónico — Búsqueda,4,140,2.86%,PEN,0.22,0.86,0.00%,0.00,0.00
13,Organnical — Ansiedad — Búsqueda,21,558,3.76%,PEN,0.30,6.34,0.00%,0.00,0.00
17,Organnical — Insomnio — Búsqueda,22,341,6.45%,PEN,0.26,5.75,0.00%,0.00,0.00
23,Organnical — Insomnio — Búsqueda,14,473,2.96%,PEN,0.19,2.71,0.00%,0.00,0.00
5,Organnical — Ansiedad — Búsqueda,23,359,6.41%,PEN,0.20,4.57,0.00%,0.00,0.00
12,Organnical — Insomnio — Búsqueda,17,349,4.87%,PEN,0.36,6.18,0.00%,0.00,0.00
20,Organnical — Dolor Crónico — Búsqueda,22,529,4.16%,PEN,0.62,13.61,0.00%,0.00,0.00
0,Organnical — Ansiedad — Búsqueda,13,443,2.93%,PEN,0.22,2.84,0.00%,0.00,0.00
22,Organnical — Dolor Crónico — Búsqueda,10,381,2.62%,PEN,0.49,4.89,0.00%,0.00,0.00
13,Organnical — Dolor Crónico — Búsqueda,14,447,3.13%,PEN,0.45,6.28,0.00%,0.00,0.00
7,Organnical — Ansiedad — Búsqueda,23,588,3.91%,PEN,0.27,6.31,0.00%,0.00,0.00
3,Organnical — Dolor Crónico — Búsqueda,11,138,7.97%,PEN,0.47,5.13,0.00%,0.00,0.00
19,Organnical — Dolor Crónico — Búsqueda,14,567,2.47%,PEN,0.51,7.18,0.00%,0.00,0.00
18,Organnical — Ansiedad — Búsqueda,28,689,4.06%,PEN,0.29,8.24,0.00%,0.00,0.00
12,Organnical — Dolor Crónico — Búsqueda,13,459,2.83%,PEN,0.59,7.73,0.00%,0.00,0.00
9,Organnical — Dolor Crónico — Búsqueda,15,500,3.00%,PEN,0.54,8.14,0.00%,0.00,0.00
10,Organnical — Insomnio — Búsqueda,14,306,4.58%,PEN,0.27,3.72,0.00%,0.00,0.00
16,Organnical — Insomnio — Búsqueda,18,330,5.45%,PEN,0.21,3.71,0.00%,0.00,0.00
23,Organnical — Ansiedad — Búsqueda,10,228,4.39%,PEN,0.29,2.92,0.00%,0.00,0.00
20,Organnical — Ansiedad — Búsqueda,35,746,4.69%,PEN,0.38,13.25,0.00%,0.00,0.00
15,Organnical — Dolor Crónico — Búsqueda,18,451,3.99%,PEN,0.45,8.03,0.00%,0.00,0.00
23,Organnical — Dolor Crónico — Búsqueda,10,211,4.74%,PEN,0.57,5.65,0.00%,0.00,0.00
14,Organnical — Insomnio — Búsqueda,11,365,3.01%,PEN,0.24,2.68,0.00%,0.00,0.00
13,Organnical — Insomnio — Búsqueda,14,321,4.36%,PEN,0.25,3.53,0.00%,0.00,0.00
17,Organnical — Dolor Crónico — Búsqueda,17,443,3.84%,PEN,0.49,8.28,0.00%,0.00,0.00
2,Organnical — Ansiedad — Búsqueda,8,222,3.60%,PEN,0.19,1.54,0.00%,0.00,0.00
9,Organnical — Ansiedad — Búsqueda,17,654,2.60%,PEN,0.30,5.05,0.00%,0.00,0.00
10,Organnical — Ansiedad — Búsqueda,26,703,3.70%,PEN,0.22,5.65,0.00%,0.00,0.00
16,Organnical — Ansiedad — Búsqueda,23,604,3.81%,PEN,0.31,7.05,0.00%,0.00,0.00
4,Organnical — Dolor Crónico — Búsqueda,8,185,4.32%,PEN,0.51,4.09,0.00%,0.00,0.00
19,Organnical — Insomnio — Búsqueda,24,361,6.65%,PEN,0.39,9.32,0.00%,0.00,0.00
18,Organnical — Dolor Crónico — Búsqueda,16,487,3.29%,PEN,0.41,6.56,0.00%,0.00,0.00
6,Organnical — Insomnio — Búsqueda,18,472,3.81%,PEN,0.25,4.48,0.00%,0.00,0.00
9,Organnical — Insomnio — Búsqueda,25,336,7.44%,PEN,0.30,7.48,0.00%,0.00,0.00
21,Organnical — Insomnio — Búsqueda,28,553,5.06%,PEN,0.23,6.56,0.00%,0.00,0.00
15,Organnical — Ansiedad — Búsqueda,28,574,4.88%,PEN,0.22,6.11,0.00%,0.00,0.00
3,Organnical — Ansiedad — Búsqueda,14,182,7.69%,PEN,0.26,3.60,0.00%,0.00,0.00
5,Organnical — Dolor Crónico — Búsqueda,12,293,4.10%,PEN,0.40,4.81,0.00%,0.00,0.00
0,Organnical — Insomnio — Búsqueda,44,"1,027",4.28%,PEN,0.33,14.43,0.00%,0.00,0.00
8,Organnical — Dolor Crónico — Búsqueda,17,505,3.37%,PEN,0.58,9.79,0.00%,0.00,0.00
21,Organnical — Dolor Crónico — Búsqueda,8,427,1.87%,PEN,0.32,2.57,0.00%,0.00,0.00
6,Organnical — Ansiedad — Búsqueda,17,513,3.31%,PEN,0.20,3.42,0.00%,0.00,0.00
2,Organnical — Insomnio — Búsqueda,57,807,7.06%,PEN,0.26,14.74,0.00%,0.00,0.00
1,Organnical — Insomnio — Búsqueda,43,"1,018",4.22%,PEN,0.28,12.02,0.00%,0.00,0.00
14,Organnical — Dolor Crónico — Búsqueda,23,495,4.65%,PEN,0.50,11.61,0.00%,0.00,0.00
19,Organnical — Ansiedad — Búsqueda,32,763,4.19%,PEN,0.33,10.62,0.00%,0.00,0.00
5,Organnical — Insomnio — Búsqueda,31,555,5.59%,PEN,0.25,7.79,0.00%,0.00,0.00
8,Organnical — Insomnio — Búsqueda,31,362,8.56%,PEN,0.30,9.24,0.00%,0.00,0.00
11,Organnical — Insomnio — Búsqueda,26,307,8.47%,PEN,0.31,8.16,0.00%,0.00,0.00
1,Organnical — Dolor Crónico — Búsqueda,5,146,3.42%,PEN,0.65,3.23,0.00%,0.00,0.00
4,Organnical — Insomnio — Búsqueda,28,538,5.20%,PEN,0.20,5.65,0.00%,0.00,0.00
20,Organnical — Insomnio — Búsqueda,12,390,3.08%,PEN,0.29,3.53,0.00%,0.00,0.00
7,Organnical — Dolor Crónico — Búsqueda,16,537,2.98%,PEN,0.67,10.71,0.00%,0.00,0.00
8,Organnical — Ansiedad — Búsqueda,25,652,3.83%,PEN,0.24,6.06,0.00%,0.00,0.00
6,Organnical — Dolor Crónico — Búsqueda,19,498,3.82%,PEN,0.35,6.70,0.00%,0.00,0.00
17,Organnical — Ansiedad — Búsqueda,30,659,4.55%,PEN,0.23,6.99,0.00%,0.00,0.00
10,Organnical — Dolor Crónico — Búsqueda,20,464,4.31%,PEN,0.60,12.07,0.00%,0.00,0.00
16,Organnical — Dolor Crónico — Búsqueda,16,429,3.73%,PEN,0.45,7.12,0.00%,0.00,0.00
15,Organnical — Insomnio — Búsqueda,18,385,4.68%,PEN,0.33,5.96,0.00%,0.00,0.00
22,Organnical — Insomnio — Búsqueda,24,586,4.10%,PEN,0.30,7.08,0.00%,0.00,0.00
0,Organnical — Dolor Crónico — Búsqueda,17,267,6.37%,PEN,0.40,6.73,0.00%,0.00,0.00
12,Organnical — Ansiedad — Búsqueda,17,617,2.76%,PEN,0.31,5.30,0.00%,0.00,0.00
3,Organnical — Insomnio — Búsqueda,40,677,5.91%,PEN,0.25,10.02,0.00%,0.00,0.00
4,Organnical — Ansiedad — Búsqueda,15,201,7.46%,PEN,0.21,3.09,0.00%,0.00,0.00
7,Organnical — Insomnio — Búsqueda,33,433,7.62%,PEN,0.30,9.74,0.00%,0.00,0.00
22,Organnical — Ansiedad — Búsqueda,18,296,6.08%,PEN,0.26,4.71,0.00%,0.00,0.00
11,Organnical — Ansiedad — Búsqueda,24,607,3.95%,PEN,0.27,6.49,0.00%,0.00,0.00
,Total: Campañas,"1,470","33,372",4.40%,PEN,0.33,479.15,0.00%,0.00,0.00
,Total: Cuenta,"1,470","33,372",4.40%,PEN,0.33,479.15,0.00%,0.00,0.00
,Total: Búsqueda,"1,470","33,372",4.40%,PEN,0.33,479.15,0.00%,0.00,0.00
