Informe de términos de búsqueda
Todo el período
Término de búsqueda,Tipo de concordancia,Agregadas/excluidas,Campaña,Grupo de anuncios,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Tipo de campaña,Porcentaje de conv.,Conversiones,Costo/conv.
medicamentos para los nervios y ansiedad,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
qué tomar para la ansiedad,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
que medicamento es el mejor para la ansiedad,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
ansiedad social como superarla,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,5,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
como dejar atras la ansiedad,Concordancia exacta (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
ejercicios para relajarse y quitar el estres,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,1,17,5.88%,PEN,0.17,0.17,Búsqueda,0.00%,0.00,0.00
receta para los nervios,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,2,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
como quitar la fatiga por ansiedad,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,1,1,100.00%,PEN,0.18,0.18,Búsqueda,0.00%,0.00,0.00
puntos de acupuntura para la ansiedad,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,4,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
que hacer si tengo ansiedad por comer,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
técnicas de relajación,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,7,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
cómo calmar el estrés y la ansiedad,Concordancia exacta (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
como relajo mi sistema nervioso,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
que me calma la ansiedad,Concordancia exacta (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
como salir de la ansiedad sin medicamentos,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,2,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
como calmar los nervios alterados,Concordancia de frase,Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
ansiedad pastillas,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
dormidina,Concordancia de frase (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,3,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
samay sleep gel,Concordancia de frase (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,2,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
técnicas relajación dormir,Concordancia de frase (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
terapia para dormir rápido,Concordancia de frase (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,2,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
no puedo dormir que hago,Concordancia exacta (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,1,10,10.00%,PEN,0.08,0.08,Búsqueda,0.00%,0.00,0.00
hierbas para el insomnio,Concordancia de frase (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,2,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
q puedo tomar para dormir,Concordancia exacta (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,2,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
remedio casero para dormir profundo,Concordancia de frase (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
qué hacer cuando no puedes dormir,Concordancia exacta (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
no puedo dormir que hago para que me de sueño remedios caseros,Concordancia de frase (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
hierbas medicinales para el insomnio,Concordancia de frase (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
gomitas para dormir more,Concordancia de frase (variante cercana),Ninguna,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
que tomar para el dolor articular,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
que es bueno para el dolor de piernas y rodillas,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,5,10,50.00%,PEN,0.33,1.67,Búsqueda,0.00%,0.00,0.00
pastillas para dolor de cintura,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,2,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
dolor de huesos y articulaciones remedios,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,1,1,100.00%,PEN,0.31,0.31,Búsqueda,0.00%,0.00,0.00
pastillas para el dolor de lumbar,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
ejercicios para el dolor de la espalda,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,2,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
dolor en muslos y piernas,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
como mejorar los dolores de espalda,Concordancia exacta (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
qué pastilla sirve para el dolor de cuerpo,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
yoga para cervicales y espalda,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
me duele la espalda baja,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,9,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
vitaminas para aliviar el dolor muscular,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
pastilla para malestar de cuerpo,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,3,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
tratamiento de lumbalgia,Concordancia de frase (variante cercana),Ninguna,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,0,3,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
nerviosan hierbas,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
algo para calmar la ansiedad,Concordancia de frase (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
control de la ansiedad,Concordancia exacta (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,2,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
que quita la ansiedad,Concordancia exacta (variante cercana),Ninguna,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,0,1,0.00%,PEN,0,0.00,Búsqueda,0.00%,0.00,0.00
