Informe por género
Todo el período
Estado de los datos demográficos,Género,Campaña,Grupo de anuncios,Estado,Ajuste de oferta,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Porcentaje de conv.,Conversiones,Costo/conv.
Habilitado,Hombre,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,114,"3,150",3.62%,PEN,0.35,39.87,0.00%,0.00,0.00
Habilitado,Desconocido,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,256,"4,814",5.32%,PEN,0.21,53.57,0.00%,0.00,0.00
Habilitado,Mujer,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apto, --,149,"4,292",3.47%,PEN,0.31,46.30,0.00%,0.00,0.00
Habilitado,Desconocido,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Apto, --,134,"2,056",6.52%,PEN,0.36,48.54,0.00%,0.00,0.00
Habilitado,Mujer,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Apto, --,115,"3,906",2.94%,PEN,0.55,63.46,0.00%,0.00,0.00
Habilitado,Hombre,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Apto, --,92,"3,485",2.64%,PEN,0.63,58.34,0.00%,0.00,0.00
Habilitado,Mujer,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,143,"3,007",4.76%,PEN,0.30,43.57,0.00%,0.00,0.00
Habilitado,Desconocido,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,351,"6,073",5.78%,PEN,0.23,79.48,0.00%,0.00,0.00
Habilitado,Hombre,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apto, --,116,"2,580",4.50%,PEN,0.40,46.03,0.00%,0.00,0.00
Total: Género,,,,,,"1,470","33,363",4.41%,PEN,0.33,479.15,0.00%,0.00,0.00
Total: Cuenta,,,,,,"1,470","33,363",4.41%,PEN,0.33,479.15,0.00%,0.00,0.00
Total: Búsqueda,,,,,,"1,470","33,363",4.41%,PEN,0.33,479.15,0.00%,0.00,0.00
