Informe de dispositivos
Todo el período
Dispositivo,Nivel,Campaña,Grupo de anuncios,Ajuste de oferta,Ajuste de la oferta del grupo de anuncios,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Porcentaje de conv.,Conversiones,Costo/conv.
Tablets,Campaña,Organnical — Insomnio — Búsqueda, --, --,Ninguno,4,16,25.00%,PEN,0.28,1.12,0.00%,0.00,0.00
Computadoras,Campaña,Organnical — Insomnio — Búsqueda, --, --,Ninguno,22,378,5.82%,PEN,0.79,17.36,0.00%,0.00,0.00
Dispositivos móviles,Campaña,Organnical — Insomnio — Búsqueda, --, --,Ninguno,824,"15,949",5.17%,PEN,0.31,257.44,0.24%,2.00,128.72
Tablets,Campaña,Organnical — Ansiedad — Búsqueda, --, --,Ninguno,2,18,11.11%,PEN,0.57,1.13,0.00%,0.00,0.00
Computadoras,Campaña,Organnical — Ansiedad — Búsqueda, --, --,Ninguno,19,684,2.78%,PEN,0.51,9.76,0.00%,0.00,0.00
Dispositivos móviles,Campaña,Organnical — Ansiedad — Búsqueda, --, --,Ninguno,731,"16,898",4.33%,PEN,0.29,213.51,0.27%,2.00,106.75
Computadoras,Campaña,Organnical — Dolor Crónico — Búsqueda, --, --,Ninguno,4,252,1.59%,PEN,1.18,4.72,0.00%,0.00,0.00
Tablets,Campaña,Organnical — Dolor Crónico — Búsqueda, --, --,Ninguno,0,10,0.00%,PEN,0,0.00,0.00%,0.00,0.00
Dispositivos móviles,Campaña,Organnical — Dolor Crónico — Búsqueda, --, --,Ninguno,337,"9,185",3.67%,PEN,0.49,165.62,0.00%,0.00,0.00
,,,,Total: Cuenta,,"1,943","43,390",4.48%,PEN,0.35,670.65,0.21%,4.00,167.66
