Informe de programación de anuncios por día
Todo el período
Día de la semana,Campaña,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,Porcentaje de conv.,Conversiones,Costo/conv.
Lunes,Organnical — Insomnio — Búsqueda,119,"2,544",4.68%,PEN,0.35,41.58,0.00%,0.00,0.00
Viernes,Organnical — Insomnio — Búsqueda,97,"2,082",4.66%,PEN,0.33,31.86,1.03%,1.00,31.86
Martes,Organnical — Insomnio — Búsqueda,108,"1,980",5.45%,PEN,0.35,37.64,0.93%,1.00,37.64
Jueves,Organnical — Ansiedad — Búsqueda,96,"2,749",3.49%,PEN,0.29,28.14,0.00%,0.00,0.00
Jueves,Organnical — Insomnio — Búsqueda,135,"2,345",5.76%,PEN,0.30,40.50,0.00%,0.00,0.00
Jueves,Organnical — Dolor Crónico — Búsqueda,58,"1,632",3.55%,PEN,0.56,32.61,0.00%,0.00,0.00
Martes,Organnical — Dolor Crónico — Búsqueda,35,"1,326",2.64%,PEN,0.46,16.01,0.00%,0.00,0.00
Domingo,Organnical — Insomnio — Búsqueda,141,"2,876",4.90%,PEN,0.34,48.34,0.00%,0.00,0.00
Sábado,Organnical — Dolor Crónico — Búsqueda,58,"1,397",4.15%,PEN,0.47,27.28,0.00%,0.00,0.00
Sábado,Organnical — Insomnio — Búsqueda,118,"2,203",5.36%,PEN,0.28,32.85,0.00%,0.00,0.00
Miércoles,Organnical — Insomnio — Búsqueda,132,"2,313",5.71%,PEN,0.33,43.15,0.00%,0.00,0.00
Miércoles,Organnical — Dolor Crónico — Búsqueda,36,"1,341",2.68%,PEN,0.51,18.24,0.00%,0.00,0.00
Viernes,Organnical — Dolor Crónico — Búsqueda,51,"1,360",3.75%,PEN,0.54,27.70,0.00%,0.00,0.00
Viernes,Organnical — Ansiedad — Búsqueda,121,"2,728",4.44%,PEN,0.28,33.95,1.65%,2.00,16.98
Martes,Organnical — Ansiedad — Búsqueda,88,"2,081",4.23%,PEN,0.31,27.14,0.00%,0.00,0.00
Sábado,Organnical — Ansiedad — Búsqueda,113,"2,721",4.15%,PEN,0.28,32.15,0.00%,0.00,0.00
Domingo,Organnical — Dolor Crónico — Búsqueda,61,"1,283",4.75%,PEN,0.45,27.17,0.00%,0.00,0.00
Miércoles,Organnical — Ansiedad — Búsqueda,118,"2,399",4.92%,PEN,0.33,38.88,0.00%,0.00,0.00
Lunes,Organnical — Dolor Crónico — Búsqueda,42,"1,108",3.79%,PEN,0.51,21.33,0.00%,0.00,0.00
Domingo,Organnical — Ansiedad — Búsqueda,119,"2,545",4.68%,PEN,0.28,33.60,0.00%,0.00,0.00
Lunes,Organnical — Ansiedad — Búsqueda,97,"2,377",4.08%,PEN,0.31,30.53,0.00%,0.00,0.00
,Total: Campañas,"1,943","43,390",4.48%,PEN,0.35,670.65,0.21%,4.00,167.66
,Total: Cuenta,"1,943","43,390",4.48%,PEN,0.35,670.65,0.21%,4.00,167.66
,Total: Búsqueda,"1,943","43,390",4.48%,PEN,0.35,670.65,0.21%,4.00,167.66
